country_code,country_name,year,gdp_usd_bn,gdp_per_capita,gdp_growth_rate,internet_penetration,unemployment_rate,population_mn,rd_expenditure_pct_gdp,ease_of_doing_business_rank,startup_count,total_funding_usd_mn,num_deals,avg_deal_size_usd_mn,num_unicorns,cumulative_unicorns,top_sector,funding_per_startup,pandemic_period,is_partial,startup_density,funding_intensity,unicorn_rate,startup_growth_yoy,funding_growth_yoy,is_pandemic,is_post_pandemic,innovation_score,digital_readiness,investment_efficiency,economic_stability,startup_momentum,funding_momentum,gdp_per_startup,unicorn_pipeline,strong_recovery,high_innovation,funding_per_deal,year_idx,sector_AI/ML,sector_AgriTech,sector_BioTech,sector_CleanTech,sector_CyberSecurity,sector_EV/CleanTech,sector_EdTech,sector_FinTech,sector_HealthTech,sector_Mobility,sector_SaaS,sector_Web3,sector_eCommerce,period_enc,period_during,period_post,period_pre,gdp_usd_bn_scaled,gdp_per_capita_scaled,gdp_growth_rate_scaled,internet_penetration_scaled,unemployment_rate_scaled,population_mn_scaled,rd_expenditure_pct_gdp_scaled,startup_count_scaled,total_funding_usd_mn_scaled,num_deals_scaled,num_unicorns_scaled,startup_density_scaled,funding_intensity_scaled,startup_growth_yoy_scaled,funding_growth_yoy_scaled,innovation_score_scaled,digital_readiness_scaled,investment_efficiency_scaled,economic_stability_scaled,startup_momentum_scaled,funding_momentum_scaled,funding_per_deal_scaled
AU,Australia,2015,1.34,56554,2.31,84.6,6.1,23.8,1.93,10,2100,1400.0,560,2.5,1,4,FinTech,0.6667,pre,0,88.24,1044.7761,0.4762,9.52,14.29,0,0,0.6537,0.6315,0.714285,0.6613,9.52,14.29,637791.53,1.9039,0,0,2.4955,0,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,False,True,-0.4382919287469486,0.7606468004307148,-0.03098654226593393,0.10741511795456046,0.28193475907076815,-0.5326638947568452,-0.3417916253783287,-0.42045629515246047,-0.4443821475526232,-0.5118658303750061,-0.5455994694041398,-0.3021016556656638,-0.7180621063371274,0.12691768304309511,0.06889896497216096,0.1469554863666407,0.1292959592012102,-0.14026029719871022,-0.18891931004720428,0.017257186856898834,-0.0038145920442307665,-1.2341238961809167
AU,Australia,2016,1.21,49927,2.59,86.0,5.7,24.2,1.88,15,2300,1600.0,600,2.67,2,6,FinTech,0.6957,pre,0,95.04,1322.314,0.8696,9.52,14.29,0,0,0.6469,0.6236,1.249999,0.6836,9.52,14.29,525858.32,2.6076,0,0,2.6622,1,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,False,True,-0.4596291881837652,0.468191047799362,0.05742614626458415,0.19424027103561506,0.11411645010007297,-0.5317771069187373,-0.3796227527445841,-0.409545743422875,-0.4395386354196215,-0.4962823364524872,-0.4776825230052843,-0.2614892626974285,-0.6718014550813691,0.12691768304309511,0.06889896497216096,0.11186780001505563,0.08792097293202171,1.1523042415755478,-0.027645552363482304,0.017257186856898834,-0.0038145920442307665,-1.1876297480527065
AU,Australia,2017,1.32,53800,2.29,86.5,5.6,24.6,1.88,14,2600,1900.0,650,2.92,2,8,FinTech,0.7308,pre,0,105.69,1439.3939,0.7692,13.04,18.75,0,0,0.6511,0.6353,1.052631,0.6779,10.6933,15.7767,507497.12,3.0757,0,0,2.9186,2,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,False,True,-0.44157458404492034,0.6391101861638149,-0.03730173430382809,0.22524925427884873,0.0721618728573989,-0.5308903190806292,-0.3796227527445841,-0.3931799158284967,-0.4322733672201191,-0.4768029690493385,-0.4776825230052843,-0.19788308841629546,-0.6522863098599091,0.47094220507581896,0.1824312732068954,0.1335396062910348,0.14919785133069366,0.6760970155392716,-0.06886799266829047,0.22298209936832472,0.06599740109693056,-1.1161174530312719
AU,Australia,2018,1.43,57374,2.81,87.0,5.3,25.0,1.79,18,2900,2800.0,710,3.94,3,11,FinTech,0.9655,pre,0,116.0,1958.042,1.0345,11.54,47.37,0,0,0.6392,0.6416,1.071428,0.7041,11.3667,26.8033,492933.47,3.7918,0,0,3.9381,3,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,False,True,-0.42351997990607554,0.7968341728703872,0.1268932586814199,0.2562582375220824,-0.05370185887062257,-0.5300035312425213,-0.4477187820038437,-0.37681408823411844,-0.4104775626216117,-0.45342772816556004,-0.4097655766064287,-0.13630753378357408,-0.5658368596098292,0.32434084625505594,0.9109726771705946,0.0721361551757601,0.1821930935453632,0.7214501995802705,0.12061059259240543,0.3410551890173436,0.5837810316682153,-0.8317696184979163
AU,Australia,2019,1.4,54907,1.96,87.8,5.2,25.4,1.79,14,3200,3400.0,770,4.42,3,14,HealthTech,1.0625,pre,0,125.98,2428.5714,0.9375,10.34,21.43,0,0,0.6506,0.6415,0.882353,0.6816,11.64,29.1833,437363.32,4.3736,0,0,4.4099,4,False,False,False,False,False,False,False,False,True,False,False,False,False,0,False,False,True,-0.4284439628530332,0.6879631389573727,-0.14150240292908164,0.30587261071125604,-0.09565643611329627,-0.5291167434044134,-0.4477187820038437,-0.36044826063974017,-0.3959470262226068,-0.4300524872817816,-0.4097655766064287,-0.07670287469195823,-0.48740794421131545,0.2070597591984456,0.2506524808457044,0.13095962935341793,0.1816693595419558,0.2652522279596991,-0.04210956650552017,0.3889752594080133,0.6955403265333285,-0.7001803018399101
AU,Australia,2020,1.33,51812,-2.15,88.0,6.4,25.7,1.79,14,3000,3100.0,730,4.25,3,17,HealthTech,1.0333,during,0,116.73,2330.8271,1.0,-6.25,-8.82,1,0,0.6516,0.636,0.967742,0.5151,5.21,19.9933,443185.6,5.6648,0,0,4.2408,5,False,False,False,False,False,False,False,False,True,False,False,False,False,1,True,False,False,-0.43993325639593445,0.551377873468609,-1.4392743667163301,0.31827620400854967,0.40779849079879,-0.5284516525258324,-0.4477187820038437,-0.37135881236932566,-0.40321229442210926,-0.44563598120430054,-0.4097655766064287,-0.1319476739502194,-0.5037001874492235,-1.4143512693591935,-0.5193816725401063,0.1361195832286511,0.152863989354546,0.4712778188559516,-1.2462387438301714,-0.7384526681880552,0.2639991837558535,-0.7473438318247954
AU,Australia,2021,1.63,63118,2.15,89.0,5.1,25.8,1.68,14,3800,6875.0,930,9.89,8,25,FinTech,2.4211,during,0,147.29,3716.2596750000002,1.6096499999999998,26.67,64.5675,1,0,0.6483,0.6614,1.163636,0.6909,10.2533,25.7258,428834.52,6.5772,0,0,7.3845,6,False,False,False,False,False,False,False,True,False,False,False,False,False,1,True,False,False,-0.3906934269263576,1.0503223037160927,-0.0815080785690872,0.380294170495017,-0.13761101335597034,-0.5282299555663054,-0.5309472622096055,-0.32771660545098363,-0.31179100291170336,-0.36771851159170577,-0.07018084461215077,0.050569197977614166,-0.27277312058577097,1.8030598855604858,1.3487466392483622,0.11909173544038183,0.2858924262200396,0.9439285947525015,0.02514809925495567,0.1458330654426215,0.5331841240139465,0.1294627276872304
AU,Australia,2022,1.7,65097,3.7,91.0,3.7,26.2,1.68,14,4100,5900.0,990,5.96,3,28,CleanTech,1.439,post,0,156.49,3470.5882,0.7317,7.89,-35.87,0,1,0.6575,0.6788,0.508474,0.7863,9.4367,6.6258,414533.04,6.8276,0,0,5.9536,7,False,False,False,True,False,False,False,False,False,False,False,False,False,2,False,True,False,-0.3792041333834563,1.1376574379333022,0.40791930436770973,0.5043301034679516,-0.724975094753404,-0.5273431677281974,-0.5309472622096055,-0.3113507778566053,-0.3354031245600863,-0.3443432707079273,-0.4097655766064287,0.10551537669934428,-0.31372220331812123,-0.03238912687546737,-1.2079576675512196,0.1665633110925268,0.37702214281293667,-0.6368386959145711,0.7150815738301616,0.0026514720250556123,-0.36370769612204623,-0.26962831344447996
AU,Australia,2023,1.69,63922,2.0,91.6,3.7,26.5,1.68,14,4000,4100.0,920,4.46,2,30,AI/ML,1.025,post,0,150.94,2426.0355,0.5,-2.44,-30.51,0,1,0.6602,0.6802,0.487805,0.7346,10.7067,-0.6042,422394.4,7.4981,0,0,4.4517,8,True,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,-0.3808454610324422,1.0858035810837716,-0.12887201885329333,0.5415408833598316,-0.724975094753404,-0.5266780768496164,-0.5309472622096055,-0.3168060537213981,-0.3789947337571011,-0.37161438507233546,-0.4776825230052843,0.07236849714438752,-0.4878306338170214,-1.0419838179544554,-1.0715152522736016,0.18049518655565652,0.3843544188606414,-0.6867086198887908,0.3411868082584833,0.22533163812878912,-0.7032117725400163,-0.6885219011694892
AU,Australia,2024,1.77,66520,1.5,92.5,4.0,26.8,1.7,14,3900,3800.0,890,4.27,2,32,AI/ML,0.9744,post,1,145.52,2146.8927,0.5128,-2.5,-7.32,0,1,0.6658,0.6929,0.526316,0.709,0.9833,-24.5667,453729.81,8.203,0,1,4.2649,9,True,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,-0.3677148398405551,1.2004557683987338,-0.2867518198006471,0.5973570531976526,-0.5991113630253826,-0.5260129859710355,-0.5158148112631034,-0.32226132958619086,-0.38626000195660354,-0.3833020055142247,-0.4776825230052843,0.03999803098441187,-0.5343587934714538,-1.047847872307286,-0.4811981608019669,0.2093909282569619,0.45086863729338794,-0.5937897248202739,0.1560474272403983,-1.479556808401166,-1.8284353453153424,-0.7406221223473517
